rank,aspect,mention_count,pct_of_aspects,mean_sentiment,median_sentiment,std_sentiment
1,transportation,569,5.1,3.479,3.0,1.074
2,overall experience,503,4.5,4.304,5.0,1.057
3,accommodation,416,3.8,3.657,4.0,0.953
4,food,294,2.7,4.304,5.0,0.925
5,weather,268,2.4,2.787,2.0,1.288
6,attractions,169,1.5,4.337,5.0,0.801
7,safety,168,1.5,3.263,3.0,1.367
8,cost,130,1.2,2.985,3.0,1.335
9,itinerary planning,109,1.0,3.165,3.0,0.727
10,beaches,108,1.0,4.056,4.0,1.118
11,natural beauty,107,1.0,4.888,5.0,0.396
12,itinerary,98,0.9,3.327,3.0,0.906
13,hiking,90,0.8,4.322,5.0,0.946
14,nightlife,85,0.8,3.867,4.0,1.124
15,nature,76,0.7,4.447,5.0,0.79
16,culture,75,0.7,4.307,5.0,0.854
17,beach,74,0.7,4.068,4.0,0.926
18,crowds,74,0.7,2.473,2.0,1.285
19,destination,73,0.7,4.342,5.0,0.786
20,city experience,71,0.6,3.901,4.0,0.988
21,scenic views,70,0.6,4.8,5.0,0.554
22,public transportation,69,0.6,4.116,4.0,0.993
23,atmosphere,64,0.6,4.391,5.0,1.107
24,history,64,0.6,4.312,5.0,0.871
25,tourist attractions,62,0.6,4.129,5.0,1.235
26,architecture,57,0.5,4.596,5.0,0.728
27,museums,52,0.5,4.212,4.0,0.997
28,day trips,50,0.5,3.98,4.0,0.685
29,city visit,49,0.4,4.0,4.0,0.764
30,scenery,46,0.4,4.826,5.0,0.529
31,city exploration,46,0.4,3.87,4.0,0.957
32,attraction,45,0.4,3.933,5.0,1.452
33,tourist crowds,42,0.4,2.571,2.0,1.213
34,day trip,41,0.4,4.195,4.0,0.872
35,walkability,41,0.4,4.78,5.0,0.725
36,sightseeing,41,0.4,3.878,4.0,0.872
37,city,40,0.4,3.875,4.0,0.911
38,outdoor activities,40,0.4,4.385,5.0,1.091
39,border crossing,38,0.3,3.421,4.0,1.154
40,location,38,0.3,4.053,4.0,0.928
41,shopping,37,0.3,3.714,4.0,1.341
42,wildlife,36,0.3,4.694,5.0,0.889
43,scenic beauty,34,0.3,4.794,5.0,0.641
44,language,34,0.3,3.735,4.0,1.136
45,budget,32,0.3,3.375,3.0,0.793
46,national park,31,0.3,4.516,5.0,0.677
47,destination recommendation,31,0.3,4.032,5.0,1.56
48,old town,30,0.3,4.467,5.0,0.681
49,beach quality,30,0.3,3.7,4.0,1.236
50,activities,30,0.3,4.067,4.0,0.944
51,travel planning,29,0.3,3.483,3.0,0.785
52,natural attractions,28,0.3,4.679,5.0,0.723
53,logistics,28,0.3,2.857,3.0,1.268
54,value for money,27,0.2,3.519,4.0,1.626
55,food options,26,0.2,3.885,4.0,0.993
56,city atmosphere,25,0.2,4.4,5.0,0.816
57,accommodation location,25,0.2,3.92,4.0,1.115
58,beach experience,24,0.2,3.708,4.0,1.233
59,road conditions,24,0.2,2.667,2.0,1.049
60,solo travel,24,0.2,3.667,3.5,1.049
61,relaxation,24,0.2,4.458,5.0,1.179
62,local people,24,0.2,4.583,5.0,1.06
63,tour,23,0.2,4.13,4.0,1.058
64,restaurant,23,0.2,4.522,5.0,0.898
65,car rental,23,0.2,3.261,3.0,1.054
66,hiking trails,22,0.2,4.091,5.0,1.231
67,people,22,0.2,4.909,5.0,0.294
68,trip duration,22,0.2,2.955,2.5,1.09
69,road trip,22,0.2,4.364,4.0,0.492
70,historical sites,22,0.2,4.5,5.0,0.964
71,public transport,22,0.2,3.636,4.0,1.255
72,visa requirements,21,0.2,3.095,3.0,1.221
73,restaurants,21,0.2,4.286,5.0,0.956
74,alternative destinations,20,0.2,4.25,4.0,0.444
75,island experience,20,0.2,4.45,5.0,0.887
76,cultural experience,19,0.2,4.842,5.0,0.375
77,immigration process,18,0.2,3.667,3.5,1.029
78,city overall,18,0.2,4.389,5.0,1.195
79,train service,18,0.2,4.0,4.0,1.188
80,destination choice,18,0.2,3.5,3.5,0.924
81,destination appeal,18,0.2,4.056,4.0,1.211
82,traffic,18,0.2,1.5,1.0,0.618
83,towns,18,0.2,4.389,4.0,0.502
84,infrastructure,17,0.2,3.059,2.0,1.478
85,neighborhoods,17,0.2,4.353,4.0,0.606
86,city charm,17,0.2,4.529,5.0,0.8
87,local culture,17,0.2,4.647,5.0,0.493
88,planning,16,0.1,3.625,4.0,0.806
89,airport experience,16,0.1,2.875,3.0,1.147
90,tourist destinations,15,0.1,3.6,3.0,1.183
91,tourist infrastructure,15,0.1,3.733,4.0,0.799
92,train travel,15,0.1,3.8,4.0,1.146
93,landmarks,15,0.1,4.467,5.0,0.64
94,museum,15,0.1,4.4,5.0,0.91
95,cuisine,15,0.1,4.267,5.0,1.033
96,trip planning,15,0.1,3.429,3.0,0.756
97,transportation options,15,0.1,3.4,4.0,0.91
98,food scene,15,0.1,4.533,5.0,0.834
99,accessibility,15,0.1,3.867,4.0,1.187
100,travel time,15,0.1,2.533,2.0,0.99
101,local interaction,15,0.1,4.533,5.0,0.834
102,city life,15,0.1,3.6,4.0,0.91
103,food and drink,15,0.1,4.4,5.0,0.828
104,affordability,15,0.1,4.6,5.0,0.632
105,town atmosphere,15,0.1,3.6,4.0,1.121
106,duration of stay,15,0.1,3.467,4.0,0.915
107,alternative destination,14,0.1,4.071,4.0,0.616
108,dining,14,0.1,4.143,4.0,1.099
109,driving,14,0.1,2.714,3.0,1.204
110,national parks,14,0.1,4.286,4.0,0.611
111,exploration,14,0.1,4.357,4.0,0.497
112,crowd,14,0.1,2.5,2.0,1.019
113,accommodation duration,14,0.1,3.429,4.0,1.158
114,safari experience,14,0.1,4.286,5.0,0.914
115,natural attraction,14,0.1,4.643,5.0,0.842
116,natural scenery,14,0.1,4.857,5.0,0.363
117,time management,14,0.1,3.0,3.0,0.877
118,markets,13,0.1,4.231,4.0,0.832
119,tourist areas,13,0.1,3.615,4.0,1.261
120,local experience,13,0.1,4.923,5.0,0.277
121,driving experience,13,0.1,3.385,4.0,1.121
122,language barrier,13,0.1,2.615,2.0,1.044
123,tourist season,13,0.1,3.077,3.0,1.038
124,city comparison,13,0.1,3.385,3.0,0.961
125,scenic route,13,0.1,4.846,5.0,0.376
126,small towns,12,0.1,4.25,4.5,1.138
127,cleanliness,12,0.1,3.25,4.0,1.913
128,climate,12,0.1,3.0,3.0,1.279
129,family-friendliness,12,0.1,3.833,4.0,1.03
130,guided tours,12,0.1,4.167,4.5,1.03
131,transportation cost,12,0.1,2.917,2.5,1.24
132,health and safety,12,0.1,2.083,1.5,1.443
133,tour operator,12,0.1,4.0,5.0,1.279
134,travel experience,12,0.1,4.333,5.0,1.231
135,comparison to other destinations,12,0.1,3.417,4.0,0.996
136,parking,12,0.1,2.167,1.5,1.467
137,activity,11,0.1,4.091,4.0,0.944
138,accommodation options,11,0.1,3.818,4.0,0.751
139,wildlife viewing,11,0.1,4.909,5.0,0.302
140,surfing,11,0.1,4.182,5.0,1.25
141,tourist experience,11,0.1,3.727,4.0,0.786
142,city vibe,11,0.1,4.636,5.0,0.674
143,city appeal,11,0.1,3.818,4.0,1.079
144,prices,11,0.1,2.727,2.0,1.679
145,wine,11,0.1,4.091,4.0,0.944
146,trekking,11,0.1,4.364,4.0,0.674
147,local food,11,0.1,4.455,5.0,0.82
148,tour options,11,0.1,3.364,4.0,1.12
149,street food,11,0.1,5.0,5.0,0.0
150,comparison to other cities,11,0.1,3.0,3.0,0.775
151,best time to visit,11,0.1,3.909,4.0,1.044
152,tourist attraction,11,0.1,4.0,4.0,0.894
153,destination selection,10,0.1,3.5,3.0,0.707
154,cities,10,0.1,3.222,3.0,1.641
155,tourist destination,10,0.1,3.5,4.0,1.269
156,travel pace,10,0.1,2.9,2.5,1.287
157,flight options,10,0.1,3.4,3.5,0.966
158,lake,10,0.1,4.3,4.0,0.675
159,scenic drives,10,0.1,4.3,5.0,1.059
160,island hopping,10,0.1,4.2,4.0,0.632
161,landscapes,10,0.1,5.0,5.0,0.0
162,cultural experiences,10,0.1,4.6,5.0,0.699
163,scams,10,0.1,1.6,1.0,0.843
164,destination options,10,0.1,3.5,3.5,0.527
165,social scene,10,0.1,4.1,4.0,0.568
166,regional exploration,9,0.1,4.333,4.0,0.5
167,local cuisine,9,0.1,3.333,3.0,1.414
168,airport accessibility,9,0.1,3.111,3.0,0.782
169,social atmosphere,9,0.1,4.222,4.0,0.833
170,views,9,0.1,4.889,5.0,0.333
