rank,aspect,mention_count,pct_of_aspects,mean_sentiment,median_sentiment,std_sentiment
1,transportation,569,5.1,3.479,3.0,1.074
2,overall experience,503,4.5,4.304,5.0,1.057
3,accommodation,416,3.8,3.657,4.0,0.953
4,food,294,2.7,4.304,5.0,0.925
5,weather,268,2.4,2.787,2.0,1.288
6,attractions,169,1.5,4.337,5.0,0.801
7,safety,168,1.5,3.263,3.0,1.367
8,cost,130,1.2,2.985,3.0,1.335
9,itinerary planning,109,1.0,3.165,3.0,0.727
10,beaches,108,1.0,4.056,4.0,1.118
11,natural beauty,107,1.0,4.888,5.0,0.396
12,itinerary,98,0.9,3.327,3.0,0.906
13,hiking,90,0.8,4.322,5.0,0.946
14,nightlife,85,0.8,3.867,4.0,1.124
15,nature,76,0.7,4.447,5.0,0.79
16,culture,75,0.7,4.307,5.0,0.854
17,beach,74,0.7,4.068,4.0,0.926
18,crowds,74,0.7,2.473,2.0,1.285
19,destination,73,0.7,4.342,5.0,0.786
20,city experience,71,0.6,3.901,4.0,0.988
