rank,aspect,mention_count,mean_sentiment,median_sentiment,std_sentiment
1,landscapes,10,5.0,5.0,0.0
2,coastal scenery,3,5.0,5.0,0.0
3,ease of travel,5,5.0,5.0,0.0
4,transport,3,5.0,5.0,0.0
5,mountain scenery,4,5.0,5.0,0.0
6,island destinations,3,5.0,5.0,0.0
7,romance,5,5.0,5.0,0.0
8,autumn scenery,4,5.0,5.0,0.0
9,festival,4,5.0,5.0,0.0
10,romantic atmosphere,4,5.0,5.0,0.0
11,romantic setting,3,5.0,5.0,0.0
12,local hospitality,6,5.0,5.0,0.0
13,coastal areas,6,5.0,5.0,0.0
14,cultural sights,3,5.0,5.0,0.0
15,natural wonder,3,5.0,5.0,0.0
16,honesty of locals,3,5.0,5.0,0.0
17,social activities,3,5.0,5.0,
18,beaches/lakes,3,5.0,5.0,0.0
19,beauty,7,5.0,5.0,0.0
20,dining experience,3,5.0,5.0,0.0
21,street art,3,5.0,5.0,0.0
22,street food,11,5.0,5.0,0.0
23,historic sites,4,5.0,5.0,0.0
24,general beauty,3,5.0,5.0,0.0
25,cultural richness,3,5.0,5.0,0.0
26,cultural events,3,5.0,5.0,0.0
27,geographical location,3,5.0,5.0,0.0
28,viewpoint,3,5.0,5.0,0.0
29,walking tours,3,5.0,5.0,0.0
30,diversity,3,5.0,5.0,0.0
31,wildlife experience,4,5.0,5.0,0.0
32,daytrip options,4,5.0,5.0,0.0
33,destinations,4,5.0,5.0,0.0
34,privacy,3,5.0,5.0,0.0
35,landscape,4,5.0,5.0,0.0
36,overall beauty,3,5.0,5.0,0.0
37,culture and people,4,5.0,5.0,0.0
38,undiscovered destinations,4,5.0,5.0,0.0
39,pubs,3,5.0,5.0,0.0
40,diving,5,5.0,5.0,0.0
41,local experience,13,4.923,5.0,0.277
42,wildlife viewing,11,4.909,5.0,0.302
43,people,22,4.909,5.0,0.294
44,views,9,4.889,5.0,0.333
45,natural beauty,107,4.888,5.0,0.396
46,natural scenery,14,4.857,5.0,0.363
47,overall impression,7,4.857,5.0,0.378
48,waterfalls,7,4.857,5.0,0.378
49,scenic route,13,4.846,5.0,0.376
50,cultural experience,19,4.842,5.0,0.375
51,scuba diving,6,4.833,5.0,0.408
52,islands,6,4.833,5.0,0.408
53,scenery,46,4.826,5.0,0.529
54,scenic views,70,4.8,5.0,0.554
55,lake scenery,5,4.8,5.0,0.447
56,previous travel experience,5,4.8,5.0,0.447
57,scenic beauty,34,4.794,5.0,0.641
58,walkability,41,4.78,5.0,0.725
59,convenience,4,4.75,5.0,0.5
60,pace of life,4,4.75,5.0,0.5
61,night markets,4,4.75,5.0,0.5
62,entertainment,4,4.75,5.0,0.5
63,churches,4,4.75,5.0,0.5
64,destination interest,4,4.75,5.0,0.5
65,social experience,4,4.75,5.0,0.5
66,city attractions,7,4.714,5.0,0.488
67,wildlife,36,4.694,5.0,0.889
68,natural attractions,28,4.679,5.0,0.723
69,timing of visit,3,4.667,5.0,0.577
70,beach/relaxation,3,4.667,5.0,0.577
71,seafood,3,4.667,5.0,0.577
72,beach/coast,3,4.667,5.0,0.577
73,beach relaxation,3,4.667,5.0,0.577
74,scenic view,3,4.667,5.0,0.577
75,local life,3,4.667,5.0,0.577
76,hospitality,6,4.667,5.0,0.516
77,cliffs of moher,3,4.667,5.0,0.577
78,scenic drive,9,4.667,5.0,0.5
79,scenic area,3,4.667,5.0,0.577
80,flexibility,3,4.667,5.0,0.577
81,food and wine,3,4.667,5.0,0.577
82,countryside,6,4.667,5.0,0.516
83,local exploration,3,4.667,5.0,0.577
