rank,aspect,mention_count,mean_sentiment,median_sentiment,std_sentiment
1,racism and discrimination,4,1.0,1.0,0.0
2,pollution,4,1.0,1.0,0.0
3,safety/security,3,1.333,1.0,0.577
4,air quality,6,1.333,1.0,0.516
5,food prices,4,1.5,1.5,0.577
6,traffic,18,1.5,1.0,0.618
7,scams,10,1.6,1.0,0.843
8,crowd levels,8,2.0,2.0,1.309
9,customer service,3,2.0,2.0,1.0
10,safety/concerns,3,2.0,2.0,0.0
11,flight connectivity,3,2.0,2.0,0.0
12,heat,3,2.0,2.0,1.0
13,side trips,4,2.0,2.0,0.0
14,tourist atmosphere,3,2.0,2.0,1.0
15,accommodation pricing,4,2.0,2.0,0.0
16,seasonal accessibility,3,2.0,2.0,0.0
17,health and safety,12,2.083,1.5,1.443
18,altitude,6,2.167,2.0,0.753
19,parking,12,2.167,1.5,1.467
20,travel restrictions,5,2.2,2.0,1.095
21,crowd management,4,2.25,2.5,0.957
22,beach conditions,4,2.25,2.0,1.258
23,flight experience,7,2.286,2.0,1.38
24,taxi services,3,2.333,2.0,1.528
25,restaurant prices,6,2.333,1.5,1.751
26,local behavior,3,2.333,2.0,1.528
27,accommodation logistics,3,2.333,2.0,0.577
28,itinerary pacing,8,2.375,2.0,0.744
29,crowds,74,2.473,2.0,1.285
30,local attitude towards tourism,4,2.5,2.0,1.0
31,crowd level,4,2.5,2.0,1.0
32,group tours,6,2.5,2.0,1.761
33,crowd,14,2.5,2.0,1.019
34,travel time,15,2.533,2.0,0.99
35,tourist crowds,42,2.571,2.0,1.213
36,language barrier,13,2.615,2.0,1.044
37,cultural differences,3,2.667,3.0,0.577
38,road conditions,24,2.667,2.0,1.049
39,tourism level,3,2.667,2.0,2.082
40,night life,3,2.667,3.0,0.577
41,signage,3,2.667,2.0,2.082
42,driving conditions,3,2.667,2.0,1.155
43,bureaucracy,3,2.667,3.0,1.528
44,driving,14,2.714,3.0,1.204
45,prices,11,2.727,2.0,1.679
46,layover experience,8,2.75,3.0,0.707
47,city worth visiting,8,2.75,2.5,1.282
48,weather,268,2.787,2.0,1.288
49,travel convenience,6,2.833,2.0,1.329
50,time allocation,7,2.857,3.0,0.69
51,logistics,28,2.857,3.0,1.268
52,airport experience,16,2.875,3.0,1.147
53,travel pace,10,2.9,2.5,1.287
54,transportation cost,12,2.917,2.5,1.24
55,trip duration,22,2.955,2.5,1.09
56,cost,130,2.985,3.0,1.335
57,climate,12,3.0,3.0,1.279
58,communication,3,3.0,4.0,1.732
59,tourist destination preference,3,3.0,3.0,0.0
60,travel plans,3,3.0,3.0,0.0
61,safety and security,4,3.0,2.5,1.414
62,comparison to other cities,11,3.0,3.0,0.775
63,city visit consideration,3,3.0,3.0,0.0
64,duration of visit,3,3.0,3.0,0.0
65,train station,3,3.0,2.0,1.732
66,distance and accessibility,3,3.0,2.0,1.732
67,payment options,3,3.0,3.0,1.0
68,urban landscape,4,3.0,3.0,1.155
69,destination preference,6,3.0,3.0,2.191
70,previous destinations,4,3.0,3.0,0.0
71,time management,14,3.0,3.0,0.877
72,accommodation prices,5,3.0,3.0,1.225
73,flight,3,3.0,4.0,1.732
74,luggage handling,4,3.0,2.5,1.414
75,service quality,3,3.0,4.0,1.732
76,accommodation/stopping point,5,3.0,3.0,0.0
77,temperature,4,3.0,3.0,1.633
78,taxis,3,3.0,3.0,1.0
79,city duration,4,3.0,3.0,1.155
80,stopover,3,3.0,3.0,0.0
81,mexico city,4,3.0,3.0,0.816
82,mention,4,3.0,3.0,0.0
83,naval experience,3,3.0,3.0,0.0
84,infrastructure,17,3.059,2.0,1.478
85,tourist season,13,3.077,3.0,1.038
86,visa requirements,21,3.095,3.0,1.221
87,airport accessibility,9,3.111,3.0,0.782
88,travel duration,7,3.143,3.0,1.069
89,itinerary planning,109,3.165,3.0,0.727
90,city size,6,3.167,3.0,0.753
91,seasonal timing,5,3.2,3.0,1.304
92,season,5,3.2,3.0,0.837
93,tourist activities,6,3.2,3.0,1.304
94,bus service,5,3.2,3.0,0.447
95,family activities,5,3.2,3.0,1.095
96,comfort,5,3.2,4.0,1.643
97,airport,5,3.2,3.0,0.447
98,tourist information,5,3.2,3.0,1.789
99,cities,10,3.222,3.0,1.641
100,clothing,4,3.25,3.0,0.5
101,uber service,4,3.25,3.5,2.062
102,cleanliness,12,3.25,4.0,1.913
103,travel documentation,4,3.25,3.0,0.5
104,food pricing,4,3.25,3.5,2.062
105,car rental,23,3.261,3.0,1.054
106,safety,168,3.263,3.0,1.367
107,tourism infrastructure,7,3.286,3.0,1.704
108,itinerary,98,3.327,3.0,0.906
109,porto,3,3.333,3.0,0.577
110,travel safety,3,3.333,3.0,0.577
111,romantic getaway,3,3.333,4.0,1.155
112,accommodation cost,6,3.333,3.5,1.211
113,crowds and tourism,3,3.333,4.0,1.155
114,destination worthiness,3,3.333,4.0,1.155
115,tour company,3,3.333,3.0,1.528
116,remoteness,3,3.333,4.0,2.082
117,puerto escondido,3,3.333,3.0,0.577
118,destination prioritization,6,3.333,4.0,1.033
119,oaxaca,3,3.333,3.0,0.577
120,beach towns,3,3.333,3.0,1.528
121,beach accessibility,3,3.333,3.0,1.528
122,internet connectivity,3,3.333,3.0,0.577
123,local cuisine,9,3.333,3.0,1.414
124,layovers,3,3.333,4.0,1.155
125,tour options,11,3.364,4.0,1.12
126,city preference,8,3.375,4.5,1.996
127,tipping culture,8,3.375,3.5,1.598
128,budget,32,3.375,3.0,0.793
129,taxi service,9,3.375,4.0,1.506
130,driving experience,13,3.385,4.0,1.121
131,city comparison,13,3.385,3.0,0.961
132,travel route,5,3.4,3.0,0.548
133,transportation options,15,3.4,4.0,0.91
134,regional visit,5,3.4,3.0,0.894
135,flight duration,5,3.4,4.0,1.342
136,local attitude,5,3.4,4.0,1.817
137,local atmosphere,5,3.4,4.0,1.817
138,public transit,5,3.4,3.0,1.14
139,tourist traffic,5,3.4,3.0,0.548
140,general experience,5,3.4,3.0,1.14
141,flight options,10,3.4,3.5,0.966
142,comparison to other destinations,12,3.417,4.0,0.996
143,border crossing,38,3.421,4.0,1.154
144,accommodation duration,14,3.429,4.0,1.158
145,trip planning,15,3.429,3.0,0.756
146,packing,7,3.429,3.0,0.787
147,duration of stay,15,3.467,4.0,0.915
148,transportation,569,3.479,3.0,1.074
149,travel planning,29,3.483,3.0,0.785
150,tourist destination,10,3.5,4.0,1.269
151,destination choice,18,3.5,3.5,0.924
152,destination options,10,3.5,3.5,0.527
153,ticketing system,4,3.5,3.5,1.291
154,city attractiveness,8,3.5,3.5,1.414
155,destination selection,10,3.5,3.0,0.707
156,family travel,4,3.5,3.0,1.0
157,things to do,4,3.5,3.5,1.732
158,uniqueness,6,3.5,3.5,1.643
159,theme parks,4,3.5,3.5,1.291
160,getting around,4,3.5,3.0,1.0
161,value for money,27,3.519,4.0,1.626
162,currency exchange,7,3.571,4.0,1.272
163,cost of living,7,3.571,5.0,1.813
164,island,5,3.6,3.0,0.894
165,town atmosphere,15,3.6,4.0,1.121
166,dining options,5,3.6,4.0,1.517
167,airport transportation,5,3.6,4.0,1.517
168,price,5,3.6,5.0,1.949
169,tourist destinations,15,3.6,3.0,1.183
170,city life,15,3.6,4.0,0.91
171,tourist areas,13,3.615,4.0,1.261
172,planning,16,3.625,4.0,0.806
173,public transport,22,3.636,4.0,1.255
174,accommodation,416,3.657,4.0,0.953
175,tivoli gardens,3,3.667,4.0,0.577
176,tour booking,3,3.667,3.0,1.155
177,city stay,3,3.667,4.0,1.528
178,city visit duration,3,3.667,4.0,1.528
179,beer,3,3.667,3.0,1.155
180,regional travel,3,3.667,4.0,0.577
181,coastal towns,3,3.667,4.0,0.577
182,solo travel,24,3.667,3.5,1.049
183,daytrip,3,3.667,4.0,1.528
184,day tour,3,3.667,4.0,1.528
185,technology,3,3.667,4.0,1.528
186,authenticity,3,3.667,4.0,1.528
187,city activities,6,3.667,4.0,1.033
188,town experience,3,3.667,4.0,1.528
189,planning and booking,3,3.667,4.0,0.577
190,planning and organization,3,3.667,4.0,1.528
191,train experience,3,3.667,4.0,1.528
192,hanoi experience,3,3.667,4.0,0.577
193,local drink,3,3.667,5.0,2.309
194,flights,3,3.667,4.0,1.528
195,food quality,6,3.667,3.5,1.211
196,immigration process,18,3.667,3.5,1.029
197,honeymoon destination,3,3.667,5.0,2.309
198,lake como,3,3.667,3.0,1.155
199,meeting locals,3,3.667,3.0,1.155
200,group size,3,3.667,4.0,0.577
201,pace of travel,9,3.667,4.0,1.0
202,solo travel experience,9,3.667,3.0,1.414
203,beach quality,30,3.7,4.0,1.236
204,beach experience,24,3.708,4.0,1.233
205,shopping,37,3.714,4.0,1.341
206,tourist experience,11,3.727,4.0,0.786
207,tourist infrastructure,15,3.733,4.0,0.799
208,language,34,3.735,4.0,1.136
209,connectivity,4,3.75,4.0,0.5
210,general information,4,3.75,4.0,0.5
211,cultural interaction,4,3.75,3.5,0.957
212,unique experiences,4,3.75,3.5,0.957
213,cruise,4,3.75,4.0,0.5
214,city overall experience,8,3.75,4.5,1.753
215,great wall,4,3.75,4.0,1.258
216,tour package,8,3.75,4.0,0.463
217,art,5,3.8,3.0,1.095
218,town character,5,3.8,4.0,0.837
219,train travel,15,3.8,4.0,1.146
220,hidden gems,5,3.8,4.0,0.447
221,city appeal,11,3.818,4.0,1.079
222,accommodation options,11,3.818,4.0,0.751
223,ruins,6,3.833,4.0,1.169
224,family-friendliness,12,3.833,4.0,1.03
225,driving route,7,3.857,4.0,1.215
226,scenic routes,7,3.857,5.0,1.676
227,accessibility,15,3.867,4.0,1.187
228,nightlife,85,3.867,4.0,1.124
229,city exploration,46,3.87,4.0,0.957
230,city,40,3.875,4.0,0.911
231,sightseeing,41,3.878,4.0,0.872
232,food options,26,3.885,4.0,0.993
233,beach activities,9,3.889,4.0,1.364
234,city experience,71,3.901,4.0,0.988
235,best time to visit,11,3.909,4.0,1.044
236,accommodation location,25,3.92,4.0,1.115
237,attraction,45,3.933,5.0,1.452
238,day trips,50,3.98,4.0,0.685
239,city break,4,4.0,4.0,1.155
240,accommodations,4,4.0,4.0,0.816
241,city character,3,4.0,4.0,1.0
242,flight prices,7,4.0,4.0,0.816
243,city accessibility,6,4.0,4.0,0.0
244,cities and towns,3,4.0,4.0,0.0
245,flight connections,8,4.0,4.0,0.0
246,boat trip,5,4.0,4.0,1.0
247,flight availability,3,4.0,4.0,0.0
248,hot springs,3,4.0,4.0,1.0
249,city visit,49,4.0,4.0,0.764
250,city beauty,3,4.0,5.0,1.732
251,beach town,3,4.0,4.0,1.0
252,european alps,3,4.0,4.0,0.0
253,adventure,7,4.0,4.0,0.894
254,wineries,3,4.0,4.0,0.0
255,age of travelers,3,4.0,4.0,0.0
256,cycling,6,4.0,4.5,1.549
257,jeep tour,3,4.0,4.0,1.0
258,destination flexibility,4,4.0,4.0,0.816
259,accommodation booking,5,4.0,4.0,0.0
260,backpacking,7,4.0,4.0,0.816
261,accommodation deals,5,4.0,4.0,0.0
262,day trip options,3,4.0,4.0,0.0
263,island exploration,4,4.0,4.0,0.0
264,cultural attractions,3,4.0,4.0,1.0
265,train service,18,4.0,4.0,1.188
266,tourism,4,4.0,4.0,1.155
267,surf spots,3,4.0,4.0,0.0
268,travel style,3,4.0,4.0,1.0
269,travel flexibility,7,4.0,4.0,1.0
270,local customs,5,4.0,4.0,1.0
271,wine tasting,4,4.0,4.5,1.414
272,payment methods,5,4.0,4.0,1.0
273,navigation,5,4.0,4.0,1.225
274,sights,4,4.0,4.0,0.816
275,seville as a destination,3,4.0,4.0,1.0
276,tour operator,12,4.0,5.0,1.279
277,seasonal travel recommendation,4,4.0,4.0,0.0
278,tour guides,7,4.0,4.5,1.265
279,tourist attraction,11,4.0,4.0,0.894
280,local transportation,3,4.0,4.0,0.0
281,tourist stops,4,4.0,4.0,0.0
282,train journey,5,4.0,4.0,0.0
283,old city center,3,4.0,5.0,1.732
284,restaurant options,4,4.0,4.0,0.816
285,length of stay,6,4.0,4.0,1.095
286,tours,5,4.0,5.0,1.414
287,destination recommendation,31,4.032,5.0,1.56
288,location,38,4.053,4.0,0.928
289,beaches,108,4.056,4.0,1.118
290,destination appeal,18,4.056,4.0,1.211
291,activities,30,4.067,4.0,0.944
292,beach,74,4.068,4.0,0.926
