doc_id;source;city;published_at;title;description;text;url;predicted_label;human_label;review_notes
841d937b6ffad36d;news;London;2026-03-13T20:00:00Z;Visionary Hotelier Rami Fustok’s Art-Filled London Apartment Is Up for Rent;The Mandrake founder’s Clerkenwell apartment—complete with works by artists Nick Cave and David LaChapelle—is asking about $6,600 per week.;"Visionary Hotelier Rami Fustok’s Art-Filled London Apartment Is Up for Rent. By providing your information, you agree to our Terms of Use and our Privacy Policy. We use vendors that may also process your information to help provide our services. This site is protected by reCAPTCHA Enterprise and the Google Privacy Policy and Terms of Service apply. Curating Life's Luxuries Since 1976 Subscribe for full access to Robb Report. Includes the digital edition. Sign up for our newsletter and go inside a world of luxury. By providing your information, you agree to our Terms of Use and our Privacy Policy. We use vendors that may also process your information to help provide our services. This site is protected by reCAPTCHA Enterprise and the Google Privacy Policy and Terms of Service apply. Hotelier Rami Fustok, best known for his theatrical, design-forward hotel The Mandrake, has taken on a new role as landlord, offering his eclectic, art-filled London apartment—part home, part gallery—for £5,000 (around $6,600) per week with Polina Shchepetkova and Olivia McSweeney of United Kingdom Sotheby’s International Realty. If that sounds steep, consider what’s included: roughly 5,500 square feet of historic architecture, a former government boardroom turned living room, and a museum-grade assortment of contemporary art. Related Stories This $16.4 Million N.Y.C. Condo Comes With Sprawling Views of Central Park Royal Enfield's First Electric Motorcycle Is Finally Here Inside a $10.8 Million Arizona Home Where Modern Restraint Meets Desert Drama Fustok’s apartment sits inside New River Head, an early-20th-century building in Clerkenwell that once served as the headquarters of London’s Metropolitan Water Board. Long before that, the site marked the end point of the New River, the 17th-century canal that carried fresh drinking water from Hertfordshire into the city. The civic complex was converted into residences in the 1990s, though much of the grand architecture—high ceilings, big windows, and spacious dimensions—remains intact. RELATED: Inside the $82 Million London Penthouse Igor Babuschkin Says He Isn’t Buying The apartment’s centerpiece—the building’s former boardroom—is cavernous, stretching about 47 feet across with ceilings rising more than 14 feet overhead. Doric columns lend a sense of timeless elegance, the original chandelier still hangs from the embellished coffered ceiling, and two mezzanine library galleries overlook the room from either end—but the real showstopper is the art. After decades of collecting, the art connoisseur’s collection fill the home, giving the temporary tenants a rare chance to live in a museum-like setting. A life-size “Soundsuit” by Nick Cave stands in one corner; nearby are photographs by David LaChapelle and a brightly colored heart sculpture by Romero Britto. By the windows stands a winged angel produced in resin by Fustok’s mother, the sculptor Bushra Fakhoury. Featured Listing 161 Stillwater Rd, Aspen, CO 81611 Aspen, CO $300,000,000 USD Featured Listing 4867 Legacy Way, Park City, Utah 84060 Park City, UT $22,000,000 USD Featured Listing Paris, Île-de-France 75002, France Paris, France $21,201,400 USD | 18,000,000 EUR Featured Listing 111 W 57th St, New York, NY 10019 New York, NY $98,000,000 USD Featured Listing The Westerly Estate: A Tuscan Villa in Paradise Santa Ynez, CA $52,500,000 USD RELATED: Inside a $19 Million London Apartment With Access to an Exclusive Private Club The layout is surprisingly practical given the scale. Much of the first floor revolves around the central lounge/gallery, alongside a kitchen, bar, and media room. A guest suite tucked discreetly behind a hidden door. Three additional bedrooms on the upper floor include a generous primary suite with bespoke joinery, a walk-in wardrobe, and a marble-clad bathroom. One of the secondary bedrooms comes with its own dressing room, and each has an en suite bath. Additional luxuries include underfloor heating, lift access, and three secure covered parking spaces—no small perk in central London, while the building offers a gym, daytime porter services, and the Oak Room, a wood-paneled space with ornate ceilings that residents can reserve for private dinners or small gatherings of up to 20 guests. Click here to see more photos of the London rental. Abigail Montanez is a staff writer at Robb Report. She has worked in both print and digital publishing for over half a decade, covering everything from real estate, entertainment, dining, travel to… Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Δ May 7-9, 2026 Robb Report’s culinary weekend comes to New Orleans. Join us at the Four Seasons for a celebration where cuisine meets culture.";http://robbreport.com/shelter/celebrity-homes/rami-fustok-london-apartment-1237682262/;1;1;
3a182936d222988c;news;Barcelona;2026-04-07T14:54:00Z;All set for the Champions: Atleti head to Barcelona with 3️⃣ out;The UEFA Champions League is gearing up for an electric quarter-final clash. Tomorrow, FC Barcelona and Atlético de Madrid will face off in the first leg at Camp Nou, in a tie that promises maximum t...;All set for the Champions: Atleti head to Barcelona with 3️⃣ out. The UEFA Champions League is gearing up for an electric quarter-final clash. Tomorrow, FC Barcelona and Atlético de Madrid will face off in the first leg at Camp Nou, in a tie that promises maximum t... The UEFA Champions League is gearing up for an electric quarter-final clash. Tomorrow, FC Barcelona and Atlético de Madrid will face off in the first leg at Camp Nou, in a tie that promises maximum t… [+760 chars];https://onefootball.com/en/news/all-set-for-the-champions-atleti-head-to-barcelona-with-3-out-42674856;0;0;
69459e4c5094ca8a;news;London;2026-04-12T23:21:08Z;NELFUND: The accidental stimulus package;;"NELFUND: The accidental stimulus package. Discover how NELFUND is more than a student loan scheme—it’s a massive, targeted economic stimulus package injecting billions into Nigeria’s youth.

Read More: https://punchng.com/nelfund-the-accidental-stimulus-package/ The basic premise of a student loan is a beautiful piece of financial time travel. Right now, you are 19, you have no money, and your marketable skills consist mostly of arguing on X (formerly Twitte… [+10379 chars]";https://punchng.com/nelfund-the-accidental-stimulus-package/;0;0;
50c0676766c4aa45;news;Paris;2026-04-02T20:00:00Z;Karl Lagerfeld’s Former Country Estate Near Paris Can Be Yours for $3.1 Million;The 18th-century estate, dubbed Manoir du Mée, was featured in several Chanel ad campaigns and was later home to prominent members of Monaco's royal family.;Karl Lagerfeld’s Former Country Estate Near Paris Can Be Yours for $3.1 Million. By providing your information, you agree to our Terms of Use and our Privacy Policy. We use vendors that may also process your information to help provide our services. This site is protected by reCAPTCHA Enterprise and the Google Privacy Policy and Terms of Service apply. Curating Life's Luxuries Since 1976 Subscribe for full access to Robb Report. Includes the digital edition. Sign up for our newsletter and go inside a world of luxury. By providing your information, you agree to our Terms of Use and our Privacy Policy. We use vendors that may also process your information to help provide our services. This site is protected by reCAPTCHA Enterprise and the Google Privacy Policy and Terms of Service apply. Far from the sharp lines and theatrical polish he was known for, Karl Lagerfeld‘s former country estate, about 50 miles outside of Paris, offers a quieter perspective on a figure more often associated with tightly controlled personal style and high-fashion spectacle. Unlike his Paris apartment—transformed into a stark, almost clinical environment—this house reflects a more informal way of living and working. Related Stories This $16.4 Million N.Y.C. Condo Comes With Sprawling Views of Central Park Royal Enfield's First Electric Motorcycle Is Finally Here Inside a $10.8 Million Arizona Home Where Modern Restraint Meets Desert Drama The grand residence, dating to 1749, was acquired by the German-born legend in 1986, and he remained in his hands until 1998, a period when he was simultaneously overseeing Chanel and expanding his own eponymous label. He used the estate as both a retreat from his work schedule and as a creative backdrop: several Chanel ad campaigns were photographed in the gardens during his ownership, including shoots with the iconic models Inès de la Fressange and Tatiana Patitz. “It’s really a place defined by proportion, light, and a certain restraint that feels very French,” says Alexis Feyfant of Pyla Paris, who holds the $3.1 million listing. RELATED: A L’Occitane Chairman’s 300-Year-Old Estate on Barbados Just Listed for $23 Million The architecture follows a classic French composition, a symmetrical facade punctuated by tall windows, and rooms arranged in sequence. Reception spaces open onto the grounds, while smaller, more private rooms sit just beyond. According to Feyfant, the layout mirrors daily life, moving easily from the kitchen to dining areas and into the more intimate spaces. Originally built for a local family, the property later passed through several notable hands, including French actress Renée Saint-Cyr. Lagerfeld sold it in 1998 to Prince Ernst August of Hanover. Princess Caroline of Monaco and her family moved in years later, living there from about 2004 to 2010. After their separation, the house sat empty for a period, roughly between 2010 and 2013, before changing hands again. Featured Listing 4867 Legacy Way, Park City, Utah 84060 Park City, UT $22,000,000 USD Featured Listing 111 W 57th St, New York, NY 10019 New York, NY $98,000,000 USD Featured Listing 161 Stillwater Rd, Aspen, CO 81611 Aspen, CO $300,000,000 USD Featured Listing The Westerly Estate: A Tuscan Villa in Paradise Santa Ynez, CA $52,500,000 USD Featured Listing Paris, Île-de-France 75002, France Paris, France $21,201,400 USD | 18,000,000 EUR RELATED: Drew Barrymore Just Listed Her 12-Acre Westchester County Estate for $5 Million The current owner, who purchased the property in 2014, has preserved much of its original character, including the Versailles-style parquet flooring, elaborate moldings, and carved stone fireplaces that are still in situ. The main house spans roughly 5,400 square feet with seven bedrooms, while a separate guesthouse adds another 2,000 square feet, all set on roughly 1.25 acres. Its reappearance follows the 2024 sale of Lagerfeld’s Paris apartment and studio on the Quai Voltaire, which sold for about $10.8 million at auction following a bidding war. Lagerfeld lived there from 2006 until his death in 2019 at the age of 85. Over the years, he cycled through residences in the City of Light, Monaco, Rome, and beyond, an impressive portfolio later chronicled in the book Karl Lagerfeld: A Life in Houses, which traces his shifting interiors from Art Deco to ultramodern. Click here to see more photos of Manoir du Mée. Abigail Montanez is a staff writer at Robb Report. She has worked in both print and digital publishing for over half a decade, covering everything from real estate, entertainment, dining, travel to… Hi everyone! Cell reception at my summer cabin is very weak so heavy websites usually fail to load. I tested the mobile version of billionairespin casino and the optimization is absolutely top notch. The slots spun smoothly without any annoying lag and I even doubled my starting stack before the evening campfire. Wish you all the best and a lucky night Do you know how i like it monkey mart Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Δ May 7-9, 2026 Robb Report’s culinary weekend comes to New Orleans. Join us at the Four Seasons for a celebration where cuisine meets culture.;http://robbreport.com/shelter/celebrity-homes/karl-lagerfeld-former-country-estate-paris-1237731995/;1;0;
b20ddaf4e5ebdba7;news;London;2026-04-08T15:17:46Z;London is getting a mind-boggling new illusion museum;;London is getting a mind-boggling new illusion museum. 🙌Awesome, you're subscribed! Thanks for subscribing! Look out for your first newsletter in your inbox soon! The best of London straight to your inbox We help you navigate a myriad of possibilities. Sign up for our newsletter for the best of the city. By entering your email address you agree to our Terms of Use and Privacy Policy and consent to receive emails from Time Out about news, events, offers and partner promotions. Awesome, you're subscribed! Thanks for subscribing! Look out for your first newsletter in your inbox soon! The best of London for free. Sign up for our email to enjoy London without spending a thing (as well as some options when you’re feeling flush). Déjà vu! We already have this email. Try another? By entering your email address you agree to our Terms of Use and Privacy Policy and consent to receive emails from Time Out about news, events, offers and partner promotions. London The Museum of Illusions will land on Tottenham Court Road this May, following the popularity of its first UK outpost in Manchester Is your Instagram feed full of influencers hanging off of ceilings? Well, don’t be fooled, they’ve probably just paid a visit to the Museum of Illusions. Despite having nearly 70 locations worldwide, there’s currently only one in the UK, and that’s in Manchester. That is, until May. Good news for London-dwellers – the museum brand is opening a second British branch for us (well, and for the tourists). Not to be muddled with other mind-bending London museums like the Paradox Museum or the Twist Museum, the new Museum of Illusions will include a never-before-seen spooky ‘Ghost Room’ exhibit. We’re not sure what level of concern photos of this room will unleash on your Instagram followers, but it sounds intriguing. You don’t have to be a frequent social media user to enjoy the museum. It also boasts plenty of opportunities to learn about the ‘scientific principles’ of the exhibits and figure out how the illusions work. Edifying! Expect new ‘gravity-defying’ illusions that make it seem like you’re hanging off a building and a ‘Reversed Room’ inspired by London’s history and landmarks. Take a peek at the Manchester branch’s train carriage illusion to get an idea of what this might look like. If the Science Museum didn’t make you feel sufficiently immersed in space, the Museum of Illusions also offers the chance to navigate the cosmos through its popular and ‘seemingly real vortex’. Your challenge is to walk across a bridge encapsulated by a rotating kaleidoscopic tunnel, without feeling dizzy (don’t worry, it’s family-friendly). Kim Schaefer, CEO of Museums of Illusions, said: ‘We are incredibly excited to bring Museum of Illusions to the UK’s capital. London is one of the world’s most dynamic cultural and tourism destinations, making it the perfect home for our next opening.’ The mind-bending museum will open on Tottenham Court Road in May, but further details are yet to be announced. Prices haven’t been confirmed for the London outpost, but the Manchester Museum of Illusions charges £21.50-£29.50, depending on the time. Tickets are available for purchase from April 27. Museum of Illusions, 6-17 Tottenham Court Road, W1T 1BJ. Did you see that The Bayeux Tapestry is coming to London this year – and it will be free to visit for millions of Londoners. Plus: The V&A East will open this month – here’s everything you need to know about the major new London museum. Get the latest and greatest from the Big Smoke – from news and reviews to events and trends. Just follow our Time Out London WhatsApp channel. Stay in the loop: sign up to our free Time Out London newsletter for the best of the city, straight to your inbox. Been there, done that? Think again, my friend. By entering your email address you agree to our Terms of Use and Privacy Policy and consent to receive emails from Time Out about news, events, offers and partner promotions. 🙌Awesome, you're subscribed! Thanks for subscribing! Look out for your first newsletter in your inbox soon! Popular on Time Out Popular on Time Out Discover Time Out original video Get us in your inbox By entering your email address you agree to our Terms of Use and Privacy Policy and consent to receive emails from Time Out about news, events, offers and partner promotions. 🙌 Awesome, you're subscribed! Thanks for subscribing! Look out for your first newsletter in your inbox soon! About us Contact us Time Out products;https://www.timeout.com/london/news/london-is-getting-a-mind-boggling-new-illusion-museum-040826;1;1;
6bd0c6c14b507c90;news;London;2026-03-23T18:09:58Z;WATCH: Airline passengers describe moment of collision at LaGuardia Airport;New York station WABC spoke with two people who said they were on the plane that collided with a truck at LaGuardia Airport.;"WATCH: Airline passengers describe moment of collision at LaGuardia Airport. New York station WABC spoke with two people who said they were on the plane that collided with a truck at LaGuardia Airport. <ul><li>Plane was traveling 93-105 mph at time of LaGuardia Airport ground collision
</li><li>Iran foreign ministry denies Trump's 'very good talks' claim
</li><li>Trump doesn't have many options o… [+4195 chars]";https://abcnews.com/video/131335508/;0;0;
77cd3779c6257165;news;Paris;2026-03-29T04:01:00Z;Works & Wonders (March 29);"This week's Works & Wonders include a Lord's Day devotional on delighting in God himself, plus the new Getty live album, a Tolkien movie announcement, study Bibles renamed and relaunched, and more.See Also
<ul><li>Works & Wonders (March 22)</li><li>My New Bo…";"Works & Wonders (March 29). This week's Works & Wonders include a Lord's Day devotional on delighting in God himself, plus the new Getty live album, a Tolkien movie announcement, study Bibles renamed and relaunched, and more.See Also
<ul><li>Works & Wonders (March 22)</li><li>My New Bo… In my weekly Works &amp; Wonders article, I combine a brief devotional with other uplifting bits and pieces. These can be stories, poems, songs, photos, articles, quotesjust about anything I found en… [+4801 chars]";https://www.challies.com/articles/works-wonders-march-29/;0;0;
d022b2d4ceacdaf3;news;Paris;2026-03-25T13:10:20Z;New love already - Who is Orlando Bloom's new girlfriend after Kat Perry split?;Orlando Bloom has reportedly found new love following his split from Katy Perry, as he is now linked to Swiss model Luisa Laemmel. The relationship reportedly began after they were spotted leaving the Super Bowl together. Meanwhile, Bloom and Perry continue t…;"New love already - Who is Orlando Bloom's new girlfriend after Kat Perry split?. Orlando Bloom has reportedly found new love following his split from Katy Perry, as he is now linked to Swiss model Luisa Laemmel. The relationship reportedly began after they were spotted leaving the Super Bowl together. Meanwhile, Bloom and Perry continue t… Orlando Bloom appears to have entered a new relationship after his breakup with Katy Perry, with reports associating him to Swiss model Luisa Laemmel.Fresh romance after high-profile split
Following… [+3451 chars]";https://economictimes.indiatimes.com/news/international/us/new-love-already-who-is-orlando-blooms-new-girlfriend-after-kat-perry-split/articleshow/129802021.cms;0;0;
f7932103bafe8cff;news;Paris;2026-04-13T17:32:00Z;Christian Dior continues to achieve organic growth in the first quarter, in a global environment impacted by the conflict in the Middle East;;"Christian Dior continues to achieve organic growth in the first quarter, in a global environment impacted by the conflict in the Middle East. Christian Dior continues to achieve organic growth in the first quarter, in a global environment impacted by the conflict in the Middle East  Paris,... Christian Dior continues to achieve organic growth in the first quarter, in a global environment impacted by the conflict in the Middle East
Paris, April 13, 2026
The Christian Dior group recorded … [+8333 chars]";https://www.globenewswire.com/news-release/2026/04/13/3272802/0/en/Christian-Dior-continues-to-achieve-organic-growth-in-the-first-quarter-in-a-global-environment-impacted-by-the-conflict-in-the-Middle-East.html;0;0;
7009c9604fa2efa6;news;Prague;2026-04-02 11:35:20;Czech tourism expands outreach in North India;CzechTourism is intensifying its outreach in North India, targeting Tier II cities to tap into growing outbound travel. The tourism board organised trade workshops and sales visits, highlighting Czechia's diverse offerings beyond Prague, including film touris…;Czech tourism expands outreach in North India. CzechTourism is intensifying its outreach in North India, targeting Tier II cities to tap into growing outbound travel. The tourism board organised trade workshops and sales visits, highlighting Czechia's diverse offerings beyond Prague, including film touris…;https://timesofindia.indiatimes.com/life-style/spotlight/czech-tourism-boosts-engagement-in-north-india-to-attract-more-travelers/articleshow/129977794.cms;1;1;
